MeasurementID;BrowseName;Description;EngineeringUnits;MeasurementPeriod;DataType;HasStatisticComponent 
1519;AcApparentPowerTotalCompleted;Apparent Power total in last completed period (fixed interval starting with the full hour);VA;user-defined, FixedBlockCompleted;Float;NO
1520;AcApparentPowerTotalInstantaneous;Apparent Power total in the instantaneous period (fixed interval starting with the full hour);VA;user-defined, FixedBlockInstantaneous;Float;NO
1521;AcApparentPowerTotalPredicted;Apparent Power total predicted in the instantaneous period (fixed interval starting with the full hour);VA;user-defined, FixedBlockPredicted;Float;NO
1600;AcReactivePowerQnL1;Reactive Power Qn L1 ;var;-;Float;NO
1601;AcReactivePowerQnL1Max;Reactive Power Qn L1 maximum. Based on AcReactivePowerQnL1. May be reset by ResetStatistics or other mechanisms.;var;-;Float;YES
1602;AcReactivePowerQnL1Min;Reactive Power Qn L1 minimum. Based on AcReactivePowerQnL1. May be reset by ResetStatistics or other mechanisms.;var;-;Float;YES
1603;AcReactivePowerQnL2;Reactive Power Qn L2;var;-;Float;NO
1604;AcReactivePowerQnL2Max;Reactive Power Qn L2 maximum. Based on AcReactivePowerQnL2. May be reset by ResetStatistics or other mechanisms.;var;-;Float;YES
1605;AcReactivePowerQnL2Min;Reactive Power Qn L2 minimum. Based on AcReactivePowerQnL2. May be reset by ResetStatistics or other mechanisms.;var;-;Float;YES
1606;AcReactivePowerQnL3;Reactive Power Qn L3;var;-;Float;NO
1607;AcReactivePowerQnL3Max;Reactive Power Qn L3 maximum. Based on AcReactivePowerQnL3. May be reset by ResetStatistics or other mechanisms.;var;-;Float;YES
1608;AcReactivePowerQnL3Min;Reactive Power Qn L3 minimum. Based on AcReactivePowerQnL3. May be reset by ResetStatistics or other mechanisms.;var;-;Float;YES
1609;AcReactivePowerQnPe;Reactive Power Qn;var;-;AcPeDataType;NO
1610;AcReactivePowerQnPeMax;Reactive Power Qn maximum (the maximum of each phase is tracked individually). Based on AcReactivePowerQnPe. May be reset by ResetStatistics or other mechanisms.;var;-;AcPeDataType;YES
1611;AcReactivePowerQnPeMin;Reactive Power Qn minimum (the minimum of each phase is tracked individually). Based on AcReactivePowerQnPe. May be reset by ResetStatistics or other mechanisms.;var;-;AcPeDataType;YES
1612;AcReactivePowerQnTotal;Reactive Power Qn total;var;-;Float;NO
1613;AcReactivePowerQnTotalMax;Reactive Power Qn total maximum. Based on AcReactivePowerQnTotal. May be reset by ResetStatistics or other mechanisms.;var;-;Float;YES
1614;AcReactivePowerQnTotalMin;Reactive Power Qn total minimum. Based on AcReactivePowerQnTotal. May be reset by ResetStatistics or other mechanisms.;var;-;Float;YES
1615;AcReactivePowerL1;Reactive Power Qtot L1 ;var;-;Float;NO
1616;AcReactivePowerL2;Reactive Power Qtot L2;var;-;Float;NO
1617;AcReactivePowerL3;Reactive Power Qtot L3;var;-;Float;NO
1618;AcReactivePowerPe;Reactive Power Qtot;var;-;AcPeDataType;NO
1619;AcReactivePowerTotal;Reactive Power Qtot total;var;-;Float;NO
1620;AcReactivePowerImport15minCompleted;Reactive Power total import - demand of last completed period (fixed 15min interval starting with the full hour);var;900 s, FixedBlockCompleted;Float;NO
1621;AcReactivePowerExport15minCompleted;Reactive Power total export - demand of last completed period (fixed 15min interval starting with the full hour);var;900 s, FixedBlockCompleted;Float;NO
1622;AcReactivePowerSumMaximum15minCompleted;Reactive Power total (import - export) maximum - demand of last completed period (fixed 15min interval starting with the full hour);var;900 s, FixedBlockCompleted;Float;NO
1623;AcReactivePowerSumMinimum15minCompleted;Reactive Power total (import - export) minimum - demand of last completed period (fixed 15min interval starting with the full hour);var;900 s, FixedBlockCompleted;Float;NO
1624;AcReactivePowerImport15minInstantaneous;Reactive Power total import in the instantaneous period (fixed 15min interval starting with the full hour);var;900 s, FixedBlockInstantaneous;Float;NO
1625;AcReactivePowerExport15minInstantaneous;Reactive Power total export in the instantaneous period (fixed 15min interval starting with the full hour);var;900 s, FixedBlockInstantaneous;Float;NO
1626;AcReactivePowerSumMaximum15minInstantaneous;Reactive Power total (import - export) maximum in the instantaneous period (fixed 15min interval starting with the full hour);var;900 s, FixedBlockInstantaneous;Float;NO
1627;AcReactivePowerSumMinimum15minInstantaneous;Reactive Power total (import - export) minimum in the instantaneous period (fixed 15min interval starting with the full hour);var;900 s, FixedBlockInstantaneous;Float;NO
1628;AcReactivePowerImport15minPredicted;Reactive Power total import predicted in the instantaneous period (fixed 15min interval starting with the full hour);var;900 s, FixedBlockPredicted;Float;NO
1629;AcReactivePowerExport15minPredicted;Reactive Power total export predicted in the instantaneous period (fixed 15min interval starting with the full hour);var;900 s, FixedBlockPredicted;Float;NO
1630;AcReactivePowerImportCompleted;Reactive Power total import - demand of last completed period (fixed interval starting with the full hour);var;user-defined, FixedBlockCompleted;Float;NO
