IEC CDD Code,UnitId,DisplayName,Description
0112/2///62720#UAA233,705743475,Mibyte,mebibyte
0112/2///62720#UAA235,705743477,N,newton
0112/2///62720#UAA236,705743478,N/A,newton per ampere
0112/2///62720#UAA237,705743479,N·cm,newton centimetre
0112/2///62720#UAA238,705743480,N/cm,newton per centimetre
0112/2///62720#UAA239,705743481,N·m,newton metre
0112/2///62720#UAA241,705743505,N·m/A,newton metre per ampere
0112/2///62720#UAA242,705743506,N·m/√W,"newton metre watt to the power minus 0.5"
0112/2///62720#UAA244,705743508,N·m/m²,newton metre per square metre
0112/2///62720#UAA246,705743510,N/m,newton per metre
0112/2///62720#UAA247,705743511,N/m²,newton per square metre
0112/2///62720#UAA249,705743513,N/mm,newton per millimetre
0112/2///62720#UAA250,705743536,N/mm²,newton per square millimetre
0112/2///62720#UAA251,705743537,N·s,newton second
0112/2///62720#UAA252,705743538,N·s/m,newton second per metre
0112/2///62720#UAA253,705743539,Np,neper
0112/2///62720#UAA254,705743540,Np/s,neper per second
0112/2///62720#UAA255,705743541,P,poise
0112/2///62720#UAA256,705743542,P/K,poise per kelvin
0112/2///62720#UAA257,705743543,P/bar,poise per bar
0112/2///62720#UAA258,705743544,Pa,pascal
0112/2///62720#UAA259,705743545,Pa/K,pascal per kelvin
0112/2///62720#UAA260,705743568,Pa/bar,pascal per bar
0112/2///62720#UAA261,705743569,Pa·l/s,pascal litre per second
0112/2///62720#UAA262,705743570,Pa/m,pascal per metre
0112/2///62720#UAA263,705743571,Pa·s/m³,pascal second per cubic metre
0112/2///62720#UAA264,705743572,Pa·m³/s,pascal cubic metre per second
0112/2///62720#UAA265,705743573,Pa·s,pascal second
0112/2///62720#UAA266,705743574,Pa·s/K,pascal second per kelvin
0112/2///62720#UAA267,705743575,Pa·s/bar,pascal second per bar
0112/2///62720#UAA268,705743576,Pa·s/m,pascal second per metre
0112/2///62720#UAA269,705743577,Pa⁻¹,reciprocal pascal
0112/2///62720#UAA270,705743600,Pbit/s,petabit per second
0112/2///62720#UAA271,705743601,Pibit/m,pebibit per metre
0112/2///62720#UAA272,705743602,Pibit/m²,pebibit per square metre
0112/2///62720#UAA273,705743603,Pibit/m³,pebibit per cubic metre
0112/2///62720#UAA274,705743604,Pibyte,pebibyte
0112/2///62720#UAA275,705743605,R,roentgen
0112/2///62720#UAA276,705743606,R/s,roentgen per second
0112/2///62720#UAA277,705743607,S,siemens
0112/2///62720#UAA278,705743608,S/cm,siemens per centimetre
0112/2///62720#UAA279,705743609,S/m,siemens per metre
0112/2///62720#UAA280,705743632,S·m²/mol,siemens square metre per mole
0112/2///62720#UAA281,705743633,St,stokes
0112/2///62720#UAA282,705743634,St/K,stokes per kelvin
0112/2///62720#UAA283,705743635,St/bar,stokes per bar
0112/2///62720#UAA284,705743636,Sv,sievert
0112/2///62720#UAA285,705743637,T,tesla
0112/2///62720#UAA286,705743638,TΩ,teraohm
0112/2///62720#UAA287,705743639,THz,terahertz
0112/2///62720#UAA288,705743640,TJ,terajoule
0112/2///62720#UAA289,705743641,TW,terawatt
0112/2///62720#UAA290,705743664,TW·h,terawatt hour
0112/2///62720#UAA291,705743665,Tbit/s,terabit per second
0112/2///62720#UAA292,705743666,Tibit/m,tebibit per metre
0112/2///62720#UAA293,705743667,Tibit/m²,tebibit per square metre
0112/2///62720#UAA294,705743668,Tibit/m³,tebibit per cubic metre
0112/2///62720#UAA295,705743669,Tibyte,tebibyte
0112/2///62720#UAA296,705743670,V,volt
0112/2///62720#UAA297,705743671,V/µs,volt per microsecond
0112/2///62720#UAA298,705743672,V·A,volt ampere
0112/2///62720#UAA299,705743673,V/bar,volt per bar
0112/2///62720#UAA300,705744400,V/in,volt per inch
0112/2///62720#UAA301,705744401,V/m,volt per metre
0112/2///62720#UAA302,705744402,V/mm,volt per millimetre
0112/2///62720#UAA303,705744403,V·s/m,volt second per metre
0112/2///62720#UAA304,705744404,V/s,volt per second
0112/2///62720#UAA305,705744405,V/psi,volt square inch per pound-force
0112/2///62720#UAA306,705744406,W,watt
0112/2///62720#UAA307,705744407,W/K,watt per kelvin
0112/2///62720#UAA308,705744408,W·h,watt hour
0112/2///62720#UAA309,705744409,W/(m·K),watt per metre kelvin
0112/2///62720#UAA310,705744432,W/m²,watt per square metre
0112/2///62720#UAA311,705744433,W/(m²·K),watt per square metre kelvin
0112/2///62720#UAA312,705744434,W/m³,watt per cubic metre
0112/2///62720#UAA313,705744435,W·s,watt second
0112/2///62720#UAA314,705744436,W/sr,watt per steradian
0112/2///62720#UAA315,705744437,W/(sr·m²),watt per steradian square metre
0112/2///62720#UAA316,705744438,W/kg,watt per kilogram
0112/2///62720#UAA317,705744439,Wb,weber
0112/2///62720#UAA318,705744440,Wb/m,weber per metre
0112/2///62720#UAA319,705744441,aF,attofarad
0112/2///62720#UAA320,705744464,acre,acre (based on US survey foot)
0112/2///62720#UAA321,705744465,at,technical atmosphere
0112/2///62720#UAA322,705744466,atm,standard atmosphere
0112/2///62720#UAA323,705744467,bar,bar
0112/2///62720#UAA324,705744468,bar/K,bar per kelvin
0112/2///62720#UAA325,705744469,bar/bar,bar per bar
0112/2///62720#UAA326,705744470,bar·l/s,bar litre per second
0112/2///62720#UAA327,705744471,mbar·m³/s,millibar cubic metre per second
0112/2///62720#UAA328,705744472,bar⁻¹,reciprocal bar
0112/2///62720#UAA329,705744473,bbl (UK liq.),barrel (UK petroleum)
0112/2///62720#UAA330,705744496,bbl (UK liq.)/min,barrel (UK petroleum) per minute
0112/2///62720#UAA331,705744497,bbl (UK liq.)/d,barrel (UK petroleum) per day
0112/2///62720#UAA332,705744498,bbl (UK liq.)/h,barrel (UK petroleum) per hour
0112/2///62720#UAA333,705744499,bbl (UK liq.)/s,barrel (UK petroleum) per second
0112/2///62720#UAA334,705744500,bbl (US),barrel (US)
0112/2///62720#UAA335,705744501,bbl (US)/d,barrel (US) per day
0112/2///62720#UAA336,705744502,bbl (US)/h,barrel (US petroleum) per hour
0112/2///62720#UAA337,705744503,bbl (US)/min,barrel (US) per minute
0112/2///62720#UAA338,705744504,bbl (US)/s,barrel (US petroleum) per second
0112/2///62720#UAA339,705744505,bit,bit
0112/2///62720#UAA340,705744528,bit/m,bit per metre
0112/2///62720#UAA342,705744530,bit/m³,bit per cubic metre
0112/2///62720#UAA343,705744531,bit/s,bit per second
0112/2///62720#UAA344,705744532,bu (UK),bushel (UK)
0112/2///62720#UAA345,705744533,bu (UK)/d,bushel (UK) per day
0112/2///62720#UAA346,705744534,bu (UK)/h,bushel (UK) per hour
0112/2///62720#UAA347,705744535,bu (UK)/min,bushel (UK) per minute
0112/2///62720#UAA348,705744536,bu (UK)/s,bushel (UK) per second
0112/2///62720#UAA349,705744537,bu (US dry)/d,bushel (US dry) per day
0112/2///62720#UAA350,705744560,bu (US dry)/h,bushel (US dry) per hour
0112/2///62720#UAA351,705744561,bu (US dry)/min,bushel (US dry) per minute
0112/2///62720#UAA352,705744562,bu (US dry)/s,bushel (US dry) per second
0112/2///62720#UAA353,705744563,bu (US),bushel (US)
0112/2///62720#UAA354,705744564,byte,byte
0112/2///62720#UAA355,705744565,cN·m,centinewton metre
0112/2///62720#UAA356,705744566,cP,centipoise
0112/2///62720#UAA357,705744567,cP/K,centipoise per kelvin
0112/2///62720#UAA358,705744568,cP/bar,centipoise per bar
0112/2///62720#UAA359,705744569,cST,centistokes
0112/2///62720#UAA360,705744592,cal,calorie (mean)
0112/2///62720#UAA361,705744593,calIT,calorie (international table)
0112/2///62720#UAA362,705744594,calIT/(g·°C),calorie (international table) per gram degree Celsius
0112/2///62720#UAA363,705744595,calIT/(g·K),calorie (international table) per gram kelvin
0112/2///62720#UAA364,705744596,calth,calorie (thermochemical)
0112/2///62720#UAA365,705744597,calth/(cm·s·°C),calorie (thermochemical) per centimetre second degree Celsius
0112/2///62720#UAA366,705744598,calth/(g·°C),calorie (thermochemical) per gram degree Celsius
0112/2///62720#UAA367,705744599,calth/(g·K),calorie (thermochemical) per gram kelvin
0112/2///62720#UAA368,705744600,calth/min,calorie (thermochemical) per minute
0112/2///62720#UAA369,705744601,calth/s,calorie (thermochemical) per second
0112/2///62720#UAA370,705744624,cd,candela
0112/2///62720#UAA371,705744625,cd/m²,candela per square metre
0112/2///62720#UAA372,705744626,ch (US survey),chain (based on U.S. survey foot)
0112/2///62720#UAA373,705744627,cl,centilitre
0112/2///62720#UAA374,705744628,clo,clo
0112/2///62720#UAA375,705744629,cm,centimetre
0112/2///62720#UAA376,705744630,cm/K,centimetre per kelvin
0112/2///62720#UAA377,705744631,cm/bar,centimetre per bar
0112/2///62720#UAA378,705744632,cm/h,centimetre per hour
0112/2///62720#UAA379,705744633,cm/s,centimetre per second
0112/2///62720#UAA380,705744656,cm/(s·K),centimetre per second kelvin
0112/2///62720#UAA381,705744657,cm/(s·bar),centimetre per second bar
0112/2///62720#UAA382,705744658,cm⁻¹,reciprocal centimetre
0112/2///62720#UAA383,705744659,cm⁻³,reciprocal cubic centimetre
0112/2///62720#UAA384,705744660,cm²,square centimetre
0112/2///62720#UAA385,705744661,cm³,cubic centimetre
0112/2///62720#UAA386,705744662,cm³/K,cubic centimetre per kelvin
0112/2///62720#UAA387,705744663,cm³/bar,cubic centimetre per bar
