ID	Browsename	Node Class
6080	RangeExceedancePeakValue	Variable
6081	RangeExceedanceDuration	Variable
6082	SensingElementResidualSensitivity	Variable
6101	SensingElementTemperature	Variable
6102	EngineeringUnits	Variable
6103	SensorNextCalibrationFixed	Variable
6104	SensorNextCalibrationDynamic	Variable
6105	PowerOnDurationSensor	Variable
6106	SensingElementResidualLife	Variable
6107	RelativeGasFlowRate	Variable
6108	ConsumedSensorCapacity	Variable
6109	RangeExceedancePeakValue	Variable
6110	RangeExceedanceDuration	Variable
6111	SensingElementResidualSensitivity	Variable
6112	AmperometricSensorSlope	Variable
6113	EngineeringUnits	Variable
6114	AmperometricSensorZeroPoint	Variable
6115	EngineeringUnits	Variable
6116	AbsoluteAirPressure	Variable
6117	EngineeringUnits	Variable
6118	SensorT90	Variable
6119	PeakWidth	Variable
6120	EngineeringUnits	Variable
6121	PeakHeight	Variable
6122	EngineeringUnits	Variable
6123	PeakArea	Variable
6124	EngineeringUnits	Variable
6125	TailingFactor	Variable
6126	ExpectedRetentionTime	Variable
6127	EngineeringUnits	Variable
6128	ActualRetentionTime	Variable
6129	EngineeringUnits	Variable
6130	InjectionTime	Variable
6131	ComponentName	Variable
6140	CalibrationRange1ResponseFactor	Variable
6141	CalibrationRange1LowerRangeValue	Variable
6142	EngineeringUnits	Variable
6143	CalibrationRange1UpperRangeValue	Variable
6144	EngineeringUnits	Variable
6145	CalibrationRange2ResponseFactor	Variable
6146	CalibrationRange2LowerRangeValue	Variable
6147	EngineeringUnits	Variable
6148	CalibrationRange2UpperRangeValue	Variable
6149	EngineeringUnits	Variable
6150	CalibrationRange3ResponseFactor	Variable
6151	CalibrationRange3LowerRangeValue	Variable
6152	EngineeringUnits	Variable
6153	CalibrationRange3UpperRangeValue	Variable
6154	EngineeringUnits	Variable
6155	PeakWidth	Variable
6156	EngineeringUnits	Variable
6157	PeakHeight	Variable
6158	EngineeringUnits	Variable
6159	PeakArea	Variable
6160	EngineeringUnits	Variable
6161	TailingFactor	Variable
6162	ExpectedRetentionTime	Variable
6163	EngineeringUnits	Variable
6164	ActualRetentionTime	Variable
6165	EngineeringUnits	Variable
6166	InjectionTime	Variable
6167	ComponentName	Variable
6168	TransmissionRatio	Variable
6169	SensingElementTemperature	Variable
6170	EngineeringUnits	Variable
6171	MahalanobisDistance	Variable
6172	SpectralResidual	Variable
6173	ElectronicsReadNoise	Variable
6174	LaserResidualLife	Variable
6180	TransmissionRatio	Variable
6181	SensingElementTemperature	Variable
6182	EngineeringUnits	Variable
6183	MahalanobisDistance	Variable
6184	SpectralResidual	Variable
6185	ElectronicsReadNoise	Variable
6186	LaserResidualLife	Variable
6187	SourceResidualLife	Variable
6188	SensingElementTemperature	Variable
6189	EngineeringUnits	Variable
6190	MahalanobisDistance	Variable
6191	SpectralResidual	Variable
6192	ElectronicsReadNoise	Variable
6200	SourceResidualLife	Variable
6201	SensingElementTemperature	Variable
6202	EngineeringUnits	Variable
6203	MahalanobisDistance	Variable
6204	SpectralResidual	Variable
6205	ElectronicsReadNoise	Variable
6206	SourceResidualLife	Variable
6207	SensingElementTemperature	Variable
6208	EngineeringUnits	Variable
6209	MahalanobisDistance	Variable
6210	SpectralResidual	Variable
6211	ElectronicsReadNoise	Variable
6220	SourceResidualLife	Variable
6221	SensingElementTemperature	Variable
6222	EngineeringUnits	Variable
6223	MahalanobisDistance	Variable
6224	SpectralResidual	Variable
6225	ElectronicsReadNoise	Variable
